time_sec,x,y,yaw
22.140,0.0000,-0.0000,-0.0000
22.740,0.0526,-0.0043,-0.1384
23.060,0.1019,-0.0137,-0.2384
23.380,0.1504,-0.0280,-0.3336
23.700,0.1974,-0.0468,-0.4273
24.020,0.2424,-0.0699,-0.5216
24.340,0.2850,-0.0971,-0.6169
24.660,0.3245,-0.1282,-0.7155
25.000,0.3625,-0.1650,-0.8270
25.340,0.3957,-0.2056,-0.9449
25.680,0.4235,-0.2495,-1.0689
26.020,0.4454,-0.2964,-1.1967
26.360,0.4610,-0.3453,-1.3283
26.700,0.4700,-0.3959,-1.4608
27.040,0.4722,-0.4472,-1.5933
27.380,0.4677,-0.4982,-1.7278
27.720,0.4563,-0.5476,-1.8684
28.080,0.4369,-0.5966,-2.0308
28.440,0.4103,-0.6400,-2.2166
28.840,0.3740,-0.6777,-2.4808
29.280,0.3283,-0.7015,-2.8504
29.720,0.2774,-0.7068,3.0588
30.160,0.2281,-0.6931,2.6848
30.540,0.1856,-0.6645,2.4714
30.880,0.1476,-0.6305,2.3524
31.220,0.1140,-0.5923,2.2334
31.560,0.0850,-0.5503,2.1144
31.900,0.0613,-0.5052,1.9954
32.240,0.0431,-0.4576,1.8764
32.580,0.0307,-0.4082,1.7574
32.920,0.0242,-0.3576,1.6384
33.260,0.0238,-0.3066,1.5194
33.600,0.0295,-0.2560,1.4004
33.960,0.0425,-0.2058,1.2282
34.320,0.0642,-0.1582,1.0607
34.680,0.0935,-0.1146,0.8961
35.040,0.1297,-0.0762,0.7347
35.400,0.1715,-0.0442,0.5714
35.780,0.2170,-0.0209,0.3388
36.220,0.2676,-0.0132,-0.0352
36.660,0.3175,-0.0245,-0.4089
37.060,0.3598,-0.0512,-0.7025
37.440,0.3947,-0.0888,-0.9325
37.800,0.4207,-0.1321,-1.1237
38.160,0.4385,-0.1801,-1.3059
38.520,0.4475,-0.2308,-1.4849
38.880,0.4472,-0.2820,-1.6679
39.240,0.4376,-0.3316,-1.8591
39.620,0.4177,-0.3792,-2.0842
40.040,0.3859,-0.4202,-2.4010
40.480,0.3424,-0.4471,-2.7750
40.920,0.2920,-0.4563,3.1341
41.360,0.2418,-0.4464,2.7601
41.740,0.1966,-0.4210,2.5558
42.080,0.1559,-0.3904,2.4368
42.420,0.1191,-0.3551,2.3178
42.760,0.0868,-0.3157,2.1988
43.100,0.0593,-0.2727,2.0798
43.440,0.0372,-0.2268,1.9608
43.780,0.0206,-0.1786,1.8418
44.120,0.0099,-0.1288,1.7228
44.460,0.0052,-0.0780,1.6038
44.800,0.0066,-0.0271,1.4848
45.140,0.0140,0.0234,1.3658
45.480,0.0273,0.0726,1.2468
45.820,0.0464,0.1198,1.1278
46.160,0.0709,0.1645,1.0088
46.500,0.1006,0.2059,0.8898
46.840,0.1350,0.2435,0.7708
47.180,0.1736,0.2768,0.6518
47.520,0.2159,0.3053,0.5328
47.860,0.2612,0.3285,0.4138
48.200,0.3091,0.3462,0.2948
48.540,0.3586,0.3581,0.1758
48.880,0.4083,0.3639,0.0598
50.520,0.4412,0.4046,0.8321
50.860,0.4777,0.4402,0.7131
51.200,0.5182,0.4711,0.5941
53.220,0.5565,0.5035,1.6970
53.560,0.5473,0.5549,1.8112
53.920,0.5308,0.6045,1.9795
54.260,0.5065,0.6512,2.0693
54.660,0.4870,0.6988,1.7945
55.080,0.4846,0.7492,1.4636
55.420,0.4937,0.8016,1.3571
55.720,0.5052,0.8529,1.3519
56.020,0.5154,0.9030,1.3910
56.380,0.5270,0.9536,1.2350
56.740,0.5492,1.0007,1.0671
57.060,0.5764,1.0460,1.0033
57.360,0.6052,1.0900,0.9848
57.660,0.6340,1.1322,0.9460
59.320,0.6486,1.1819,1.6715
59.660,0.6465,1.2328,1.5525
60.000,0.6505,1.2836,1.4335
60.340,0.6604,1.3336,1.3145
62.460,0.6311,1.3742,2.6281
62.820,0.5841,1.3956,2.8049
63.160,0.5342,1.4087,2.9238
63.480,0.4844,1.4213,2.8406
63.860,0.4372,1.4413,2.6104
64.300,0.3981,1.4754,2.2472
64.660,0.3696,1.5192,2.0820
64.960,0.3461,1.5642,2.0401
65.260,0.3219,1.6113,2.0547
65.560,0.2979,1.6559,2.0522
65.960,0.2796,1.7034,1.7708
66.320,0.2753,1.7535,1.5794
66.640,0.2767,1.8067,1.5213
66.940,0.2798,1.8596,1.5078
67.220,0.2830,1.9097,1.5048
67.500,0.2864,1.9598,1.5029
67.800,0.2902,2.0127,1.4900
68.140,0.2973,2.0635,1.3568
73.460,0.3143,2.0159,-1.3125
73.800,0.3308,1.9679,-1.1712
74.140,0.3542,1.9206,-1.0589
74.460,0.3818,1.8753,-0.9976
74.760,0.4107,1.8314,-0.9814
75.060,0.4394,1.7878,-1.0058
75.380,0.4660,1.7427,-1.0768
75.700,0.4878,1.6973,-1.1742
76.040,0.5053,1.6477,-1.2896
76.380,0.5167,1.5968,-1.4111
76.720,0.5218,1.5449,-1.5332
77.060,0.5207,1.4927,-1.6532
77.400,0.5132,1.4410,-1.7746
77.740,0.4996,1.3908,-1.8977
78.080,0.4799,1.3429,-2.0237
78.420,0.4544,1.2981,-2.1533
78.760,0.4234,1.2571,-2.2858
79.100,0.3873,1.2208,-2.4206
79.440,0.3468,1.1898,-2.5568
79.780,0.3025,1.1647,-2.6960
80.120,0.2555,1.1462,-2.8385
80.480,0.2040,1.1345,-3.0000
80.840,0.1525,1.1317,3.1056
81.220,0.1017,1.1390,2.8763
81.660,0.0546,1.1611,2.5143
82.100,0.0193,1.1985,2.1435
82.520,-0.0015,1.2466,1.8337
82.900,-0.0091,1.2977,1.6095
83.280,-0.0057,1.3494,1.3871
83.720,0.0128,1.3971,1.0131
84.160,0.0475,1.4347,0.6391
84.600,0.0936,1.4571,0.2651
85.040,0.1446,1.4611,-0.1089
85.480,0.1935,1.4462,-0.4829
85.920,0.2340,1.4141,-0.8443
86.260,0.2655,1.3740,-0.9633
86.600,0.2921,1.3305,-1.0823
86.940,0.3133,1.2842,-1.2013
87.280,0.3288,1.2356,-1.3203
87.620,0.3382,1.1865,-1.4592
87.980,0.3395,1.1342,-1.6275
88.320,0.3329,1.0845,-1.7758
88.660,0.3191,1.0359,-1.9187
89.000,0.2985,0.9897,-2.0613
89.340,0.2717,0.9471,-2.2074
89.680,0.2390,0.9092,-2.3569
90.040,0.1987,0.8749,-2.5169
90.400,0.1536,0.8477,-2.6796
90.760,0.1050,0.8283,-2.8478
91.120,0.0549,0.8179,-3.0296
91.500,0.0030,0.8176,3.0324
91.920,-0.0468,0.8308,2.7095
92.360,-0.0885,0.8605,2.3355
92.800,-0.1164,0.9033,1.9615
93.240,-0.1268,0.9535,1.5875
93.680,-0.1181,1.0039,1.2135
94.120,-0.0916,1.0477,0.8395
94.560,-0.0509,1.0788,0.4655
95.000,-0.0017,1.0928,0.0915
95.440,0.0492,1.0880,-0.2825
95.860,0.0965,1.0646,-0.5754
96.200,0.1376,1.0344,-0.6944
96.540,0.1747,0.9995,-0.8134
96.880,0.2075,0.9604,-0.9324
97.220,0.2354,0.9178,-1.0514
97.560,0.2580,0.8721,-1.1704
97.900,0.2750,0.8240,-1.2894
98.240,0.2863,0.7743,-1.4084
98.580,0.2915,0.7236,-1.5274
98.920,0.2907,0.6727,-1.6464
99.260,0.2838,0.6222,-1.7654
99.600,0.2710,0.5728,-1.8844
99.940,0.2524,0.5254,-2.0034
100.280,0.2283,0.4804,-2.1224
100.620,0.1991,0.4387,-2.2414
100.960,0.1651,0.4007,-2.3604
101.300,0.1268,0.3670,-2.4794
101.640,0.0848,0.3381,-2.5984
101.980,0.0397,0.3144,-2.7174
102.320,-0.0079,0.2963,-2.8364
102.660,-0.0573,0.2839,-2.9554
103.000,-0.1079,0.2774,-3.0744
103.340,-0.1589,0.2770,3.0898
103.680,-0.2095,0.2827,2.9708
104.020,-0.2591,0.2943,2.8518
104.360,-0.3070,0.3118,2.7328
104.700,-0.3525,0.3348,2.6138
105.040,-0.3949,0.3630,2.4948
105.380,-0.4337,0.3961,2.3758
105.720,-0.4683,0.4335,2.2568
110.440,-0.4395,0.3919,-0.8744
110.780,-0.4034,0.3533,-0.7615
111.120,-0.3631,0.3190,-0.6514
111.440,-0.3216,0.2904,-0.5538
111.760,-0.2771,0.2657,-0.4645
112.080,-0.2297,0.2442,-0.3892
112.380,-0.1827,0.2264,-0.3391
112.680,-0.1336,0.2100,-0.3089
112.980,-0.0826,0.1940,-0.3024
113.280,-0.0318,0.1780,-0.3121
113.580,0.0170,0.1615,-0.3455
113.880,0.0637,0.1433,-0.3975
114.200,0.1112,0.1214,-0.4697
114.520,0.1561,0.0963,-0.5519
114.840,0.1981,0.0678,-0.6432
115.160,0.2367,0.0357,-0.7434
115.500,0.2737,-0.0022,-0.8547
115.840,0.3056,-0.0436,-0.9739
116.180,0.3320,-0.0882,-1.1005
116.520,0.3522,-0.1354,-1.2330
116.860,0.3659,-0.1847,-1.3679
117.200,0.3728,-0.2353,-1.5037
117.540,0.3727,-0.2864,-1.6396
117.880,0.3657,-0.3367,-1.7792
118.220,0.3518,-0.3850,-1.9268
118.580,0.3296,-0.4321,-2.0973
118.960,0.2989,-0.4747,-2.3104
119.380,0.2591,-0.5068,-2.6377
119.820,0.2105,-0.5227,-3.0117
120.260,0.1594,-0.5198,2.8974
120.700,0.1129,-0.4984,2.5234
121.060,0.0725,-0.4647,2.3836
121.400,0.0376,-0.4275,2.2646
121.740,0.0074,-0.3864,2.1456
122.080,-0.0177,-0.3421,2.0266
122.420,-0.0374,-0.2951,1.9076
122.760,-0.0513,-0.2460,1.7886
123.100,-0.0594,-0.1957,1.6696
123.440,-0.0614,-0.1448,1.5506
123.780,-0.0573,-0.0940,1.4316
124.120,-0.0472,-0.0440,1.3126
124.460,-0.0313,0.0044,1.1936
124.800,-0.0098,0.0506,1.0746
125.140,0.0171,0.0939,0.9556
125.480,0.0490,0.1337,0.8366
125.820,0.0853,0.1695,0.7176
126.160,0.1256,0.2006,0.5986
126.500,0.1694,0.2268,0.4796
126.840,0.2159,0.2476,0.3606
127.180,0.2646,0.2627,0.2416
127.520,0.3147,0.2719,0.1226
127.860,0.3656,0.2751,0.0036
128.200,0.4165,0.2723,-0.1154
128.540,0.4667,0.2634,-0.2344
128.880,0.5155,0.2486,-0.3534
129.220,0.5621,0.2282,-0.4724
129.560,0.6061,0.2023,-0.5914
129.900,0.6466,0.1715,-0.7104
130.240,0.6832,0.1360,-0.8294
130.580,0.7153,0.0964,-0.9484
130.920,0.7425,0.0533,-1.0674
131.260,0.7644,0.0073,-1.1864
131.600,0.7807,-0.0410,-1.3054
131.940,0.7911,-0.0909,-1.4244
133.780,0.8218,-0.1335,-0.5530
134.120,0.8636,-0.1628,-0.6720
134.460,0.9015,-0.1968,-0.7910
134.800,0.9351,-0.2351,-0.9100
135.140,0.9639,-0.2772,-1.0290
135.480,0.9876,-0.3223,-1.1480
137.520,1.0236,-0.3599,-0.1353
137.860,1.0736,-0.3698,-0.2543
138.200,1.1241,-0.3859,-0.3528
138.500,1.1712,-0.4031,-0.3210
138.840,1.2217,-0.4169,-0.2020
139.160,1.2712,-0.4268,-0.2477
139.580,1.3196,-0.4465,-0.5598
139.960,1.3581,-0.4793,-0.7930
140.260,1.3936,-0.5168,-0.8189
140.560,1.4284,-0.5533,-0.8230
140.940,1.4600,-0.5945,-1.0443
141.320,1.4809,-0.6433,-1.2451
141.620,1.4963,-0.6924,-1.2799
141.920,1.5116,-0.7435,-1.2751
142.260,1.5252,-0.7938,-1.3885
142.620,1.5298,-0.8457,-1.5579
142.940,1.5284,-0.8982,-1.6262
143.240,1.5246,-0.9497,-1.6574
143.540,1.5195,-1.0016,-1.6820
143.860,1.5124,-1.0540,-1.7465
144.200,1.5000,-1.1034,-1.8833
144.520,1.4821,-1.1507,-1.9780
144.840,1.4597,-1.1973,-2.0570
145.160,1.4335,-1.2428,-2.1268
145.480,1.4043,-1.2864,-2.1956
145.800,1.3723,-1.3276,-2.2675
146.120,1.3375,-1.3661,-2.3455
146.440,1.3003,-1.4010,-2.4331
146.760,1.2604,-1.4321,-2.5277
147.080,1.2180,-1.4589,-2.6283
147.420,1.1707,-1.4821,-2.7431
147.760,1.1216,-1.4994,-2.8660
148.100,1.0711,-1.5102,-2.9943
152.060,1.1197,-1.5282,-0.2735
152.380,1.1710,-1.5407,-0.2090
152.680,1.2208,-1.5500,-0.1641
152.980,1.2715,-1.5574,-0.1262
153.280,1.3224,-1.5629,-0.0893
153.580,1.3735,-1.5665,-0.0510
153.880,1.4245,-1.5681,-0.0111
154.180,1.4754,-1.5676,0.0304
154.480,1.5262,-1.5650,0.0729
154.780,1.5768,-1.5602,0.1148
155.080,1.6273,-1.5534,0.1557
155.380,1.6776,-1.5444,0.1963
155.680,1.7274,-1.5335,0.2359
155.980,1.7772,-1.5206,0.2709
156.280,1.8268,-1.5059,0.3010
156.580,1.8766,-1.4898,0.3239
156.880,1.9265,-1.4726,0.3405
157.180,1.9767,-1.4545,0.3494
157.460,2.0238,-1.4373,0.3495
157.760,2.0740,-1.4192,0.3411
158.060,2.1238,-1.4020,0.3234
158.360,2.1734,-1.3860,0.2979
158.660,2.2229,-1.3716,0.2651
158.960,2.2723,-1.3593,0.2232
159.260,2.3216,-1.3494,0.1735
159.580,2.3744,-1.3417,0.1152
159.900,2.4269,-1.3373,0.0496
160.220,2.4793,-1.3365,-0.0208
160.540,2.5313,-1.3395,-0.0945
160.860,2.5828,-1.3464,-0.1708
161.180,2.6335,-1.3571,-0.2483
161.500,2.6834,-1.3718,-0.3238
161.820,2.7322,-1.3902,-0.3966
162.140,2.7799,-1.4122,-0.4655
162.460,2.8264,-1.4374,-0.5287
162.780,2.8715,-1.4657,-0.5879
163.080,2.9127,-1.4946,-0.6366
163.380,2.9530,-1.5258,-0.6776
165.600,3.0015,-1.5102,0.7028
166.480,3.0384,-1.4765,1.2027
166.880,3.0528,-1.4274,1.3474
167.220,3.0611,-1.3761,1.4718
167.560,3.0631,-1.3237,1.5887
167.880,3.0602,-1.2705,1.6435
168.180,3.0571,-1.2191,1.6102
168.500,3.0570,-1.1673,1.5314
168.840,3.0620,-1.1148,1.4172
170.340,3.0455,-1.0676,1.8312
170.760,3.0411,-1.0172,1.4975
173.680,3.0254,-0.9695,3.0365
174.000,2.9754,-0.9666,3.1373
174.340,2.9249,-0.9698,-3.0040
174.680,2.8758,-0.9805,-2.8584
175.060,2.8259,-0.9904,-3.0911
175.480,2.7748,-0.9839,2.8719
175.800,2.7266,-0.9676,2.7857
176.100,2.6771,-0.9490,2.7850
176.400,2.6282,-0.9312,2.7886
176.780,2.5808,-0.9096,2.5708
177.160,2.5402,-0.8760,2.3633
177.480,2.5044,-0.8378,2.2941
179.520,2.4558,-0.8199,-2.8956
179.860,2.4057,-0.8294,-3.0146
180.200,2.3549,-0.8328,-3.1336
180.540,2.3040,-0.8302,3.0306
182.540,2.2537,-0.8252,-2.1479
182.900,2.2293,-0.8700,-1.9893
183.260,2.2131,-0.9180,-1.7993
183.580,2.2043,-0.9674,-1.7357
183.940,2.1926,-1.0184,-1.9037
184.380,2.1673,-1.0642,-2.2628
184.760,2.1296,-1.0983,-2.4919
185.060,2.0880,-1.1283,-2.5277
185.360,2.0454,-1.1588,-2.5072
185.720,2.0033,-1.1868,-2.6768
186.100,1.9543,-1.2040,-2.8949
186.420,1.9021,-1.2153,-2.9504
186.720,1.8497,-1.2250,-2.9585
187.000,1.8004,-1.2343,-2.9551
187.320,1.7483,-1.2426,-3.0196
187.680,1.6974,-1.2437,3.0784
188.000,1.6467,-1.2380,2.9908
188.300,1.5974,-1.2291,2.9384
188.600,1.5479,-1.2177,2.8950
188.900,1.4990,-1.2043,2.8503
189.200,1.4515,-1.1887,2.7967
189.520,1.4028,-1.1693,2.7270
189.840,1.3564,-1.1467,2.6466
190.160,1.3124,-1.1205,2.5598
190.480,1.2715,-1.0907,2.4659
190.800,1.2338,-1.0574,2.3675
191.140,1.1981,-1.0184,2.2557
192.580,1.1548,-0.9919,2.8697
192.920,1.1066,-0.9753,2.7507
193.260,1.0607,-0.9531,2.6317
193.600,1.0178,-0.9256,2.5127
193.940,0.9784,-0.8933,2.3937
196.000,0.9278,-0.8986,-2.5770
196.380,0.8880,-0.9307,-2.3462
196.740,0.8534,-0.9680,-2.3964
197.180,0.8100,-0.9951,-2.7704
197.600,0.7606,-1.0047,-3.1071
197.940,0.7078,-1.0025,3.0690
198.240,0.6559,-0.9991,3.0940
198.560,0.6035,-0.9985,-3.1182
198.880,0.5529,-1.0002,3.1408
199.300,0.5018,-0.9923,2.8230
199.640,0.4558,-0.9726,2.6752
199.960,0.4090,-0.9469,2.6193
200.260,0.3628,-0.9200,2.6136
200.580,0.3175,-0.8930,2.5524
200.940,0.2772,-0.8605,2.3778
201.260,0.2423,-0.8235,2.2877
201.560,0.2100,-0.7845,2.2424
201.860,0.1787,-0.7437,2.2078
202.160,0.1491,-0.7021,2.1677
202.480,0.1205,-0.6573,2.1088
202.820,0.0979,-0.6123,1.9620
203.160,0.0808,-0.5625,1.8476
203.480,0.0691,-0.5129,1.7589
203.800,0.0616,-0.4620,1.6752
204.120,0.0584,-0.4108,1.5908
204.440,0.0596,-0.3597,1.5034
204.760,0.0654,-0.3093,1.4104
205.080,0.0758,-0.2602,1.3111
205.420,0.0922,-0.2099,1.1999
205.760,0.1140,-0.1621,1.0832
206.100,0.1413,-0.1175,0.9634
206.440,0.1736,-0.0765,0.8418
206.780,0.2106,-0.0399,0.7195
207.120,0.2518,-0.0079,0.5983
207.460,0.2968,0.0189,0.4787
207.800,0.3443,0.0400,0.3545
208.180,0.3935,0.0531,0.1214
208.620,0.4446,0.0498,-0.2526
209.060,0.4909,0.0280,-0.6266
209.500,0.5262,-0.0093,-0.9984
209.920,0.5461,-0.0560,-1.3306
210.340,0.5501,-0.1071,-1.6561
210.780,0.5366,-0.1575,-2.0163
211.220,0.5064,-0.1988,-2.3903
211.660,0.4631,-0.2262,-2.7643
212.100,0.4129,-0.2359,-3.1383
212.480,0.3626,-0.2289,2.9250
212.820,0.3135,-0.2151,2.8060
213.160,0.2665,-0.1954,2.6870
213.500,0.2221,-0.1704,2.5680
213.840,0.1810,-0.1402,2.4490
214.200,0.1428,-0.1039,2.2983
214.560,0.1122,-0.0625,2.1190
214.920,0.0892,-0.0162,1.9426
215.280,0.0749,0.0332,1.7639
